timestamp,count
1754438400000,174222
1753833600000,158720
1753228800000,140853
1752624000000,130704
1752019200000,129063
1751414400000,131447
1750809600000,126438
1750204800000,125736
1749600000000,121053
1748995200000,124239
1748390400000,119228
1747785600000,113743
1747180800000,107977
1746576000000,106180
1745971200000,105219
1745366400000,102544
1744761600000,93435
1744156800000,100070
1743552000000,104431
1742947200000,106801
1742342400000,99996
1741737600000,101714
1741132800000,96923
1740528000000,93988
1739923200000,94677
1739318400000,92813
1738713600000,91731
1738108800000,92871
1737504000000,95471
1736899200000,102833
1736294400000,108381
1735516800000,107716
1734912000000,117259
1734307200000,131141
1733702400000,152481
1733097600000,146543
1732492800000,104513
1731888000000,106686
1731283200000,106485
1730678400000,107366
1730073600000,107560
1729468800000,107763
1728864000000,108427
1728259200000,105780
1727654400000,109608
1727049600000,110293
1726444800000,107700
1725840000000,110379
1725235200000,117034
1724630400000,115373
1724025600000,110242
1723420800000,110912
1722816000000,106198
1722211200000,111239
1721606400000,110678
1721001600000,109859
1720396800000,111074
1719792000000,109884
1719187200000,109707
1718582400000,113529
1717977600000,113957
1717372800000,112416
1716768000000,102568
1716163200000,110511
1715558400000,113538
1714953600000,115672
1714348800000,112201
1713744000000,112576
1713139200000,110422
1712534400000,117334
1711929600000,110130
1711324800000,111056
1710720000000,103549
1710115200000,103709
1709510400000,98218
1708905600000,99109
1708300800000,95994
1707696000000,96971
1707091200000,93528
1706486400000,94934
1705881600000,91673
1705276800000,90569
1704672000000,98572
1703980800000,99084
1703376000000,103045
1702771200000,108954
1702166400000,116544
1701561600000,132509
1700956800000,143118
1700352000000,137236
1699747200000,105047
1699142400000,108403
1698537600000,106094
1697932800000,104874
1697328000000,106222
1696723200000,103592
1696118400000,99967
1695513600000,101563
1694908800000,99874
1694304000000,103896
1693699200000,107412
1693094400000,101857
1692489600000,97306
1691884800000,98811
1691280000000,98835
1690675200000,95534
1690070400000,90261
1689465600000,94205
1688860800000,92113
1688256000000,89096
1687651200000,86352
1687046400000,83961
1686441600000,87313
1685836800000,89704
1685232000000,88763
1684627200000,91562
1684022400000,92818
1683417600000,93611
1682812800000,91225
1682208000000,90179
1681603200000,95007
1680998400000,96533
1680393600000,95791
1679788800000,91663
1679184000000,90179
1678579200000,90103
1677974400000,91941
1677369600000,91966
1676764800000,88529
1676160000000,90686
1675555200000,93289
1674950400000,90674
1674345600000,89168
1673740800000,90030
1673136000000,91938
1672444800000,84603
1671840000000,77951
1671235200000,77802
1670630400000,69848
1670025600000,73066
1669420800000,62666
1668816000000,70048
1668211200000,69888
1667606400000,70884
1667001600000,73501
1666396800000,72998
1665792000000,69173
1665187200000,72315
1664582400000,74404
1663977600000,75880
1663372800000,71236
1662768000000,70089
1662163200000,72828
1659744000000,68187
1659139200000,67606
1658534400000,68351
1657929600000,66477
1657324800000,63811
1656720000000,61916
1656115200000,63960
1655510400000,62310
1654905600000,63643
1654300800000,64517
1653696000000,62385
1653091200000,61038
1652486400000,59881
1651881600000,59795
1651276800000,59293
1650672000000,60742
1650067200000,60786
1649462400000,60439
1648857600000,57769
1648252800000,55249
1647648000000,56831
1647043200000,61646
1646438400000,63818
1645833600000,67480
1645228800000,73305
1644624000000,77403
1644019200000,86436
1643414400000,93846
1642809600000,91939
1642204800000,80343
1641600000000,82016
1640908800000,75509
1640304000000,65267
1639699200000,64737
1639094400000,62255
1638489600000,66144
1637884800000,64908
1637280000000,69720
1636675200000,73657
1636070400000,74905
1635465600000,75515
1634860800000,77685
1634256000000,83995
1633651200000,80025
1633046400000,64625
1632441600000,66130
1631836800000,67105
1631232000000,64343
1630627200000,63925
1630022400000,66224
1629417600000,64706
1628812800000,64123
1628208000000,62953
1627603200000,62738
1626998400000,59526
1626393600000,59525
1625788800000,59898
1625184000000,59188
1624579200000,59341
1623974400000,62580
1623369600000,63282
1622764800000,69847
1622160000000,69498
1621555200000,71099
1620950400000,73352
1620345600000,77060
1619740800000,76958
1619136000000,78518
1618531200000,76715
1617926400000,79037
1617321600000,79205
1616716800000,80075
1616112000000,80245
1615507200000,80791
1614902400000,77089
1614297600000,80580
1613692800000,83522
1613088000000,82956
1612483200000,85320
1611878400000,83062
1611273600000,83330
1610668800000,81934
1610064000000,81658
1609891200000,78489
1609286400000,77538
1608681600000,85338
1608076800000,86290
1607472000000,93745
1606867200000,99752
1606262400000,107714
1605657600000,115863
1605052800000,121383
1604448000000,111657
1603843200000,92137
1603238400000,91783
1602633600000,91011
1602028800000,89520
1601424000000,87014
1600819200000,86235
1600214400000,86248
1599609600000,86343
1599004800000,85363
1598400000000,87770
1597795200000,86378
1597190400000,88212
1596585600000,89935
1595980800000,92201
1595376000000,91736
1594771200000,92545
1594166400000,92626
1593561600000,94730
1592956800000,99339
1592352000000,108290
1591747200000,104709
1591142400000,107120
1590537600000,108667
1589932800000,112839
1589328000000,116319
1588723200000,117316
1588118400000,114796
1587513600000,115631
1586908800000,110964
1586304000000,109759
1585699200000,104530
1585094400000,93408
1584489600000,78664
1583884800000,75804
1583280000000,76368
1582675200000,75014
1582070400000,74580
1581465600000,73934
1580860800000,70649
1580256000000,69938
1579651200000,67827
1579046400000,69000
1578441600000,68344
1577750400000,68481
1577145600000,66844
1576540800000,64037
1575936000000,63519
1575331200000,65066
1574726400000,68505
1574121600000,71405
1573516800000,58281
1572912000000,58324
1572307200000,60937
1571702400000,63451
1571097600000,65957
1570492800000,67102
1569888000000,65889
1569283200000,66405
1568678400000,65888
1568073600000,70527
1567468800000,69985
1566864000000,72219
1566259200000,72046
1565654400000,74293
1565049600000,73686
